ImageNumber, timeStamp,centerDistance,relativeHeading,Tile
autobot04_1574103166_39143085.jpg,1574103166.039143,-0.06727014668943512,-0.11508813620841306,straight
autobot04_1574103166_94768047.jpg,1574103166.094768,-0.0691675733173309,-0.13229729461251624,straight
autobot04_1574103166_145476102.jpg,1574103166.145476,-0.07266869038412307,-0.150502256233467,straight
autobot04_1574103166_178349971.jpg,1574103166.17835,-0.07397868370066227,-0.1557624680024587,straight
autobot04_1574103166_219275951.jpg,1574103166.219276,-0.07806615103403428,-0.173985818410433,straight
autobot04_1574103166_254923105.jpg,1574103166.254923,-0.07951035761946298,-0.18010535592991725,straight
autobot04_1574103166_285840988.jpg,1574103166.285841,-0.08428113858036543,-0.19793319217927727,straight
autobot04_1574103166_333887100.jpg,1574103166.333887,-0.09101053451818361,-0.2200691125925178,straight
autobot04_1574103166_389107942.jpg,1574103166.389108,-0.09464376520375808,-0.23105627028198558,straight
autobot04_1574103166_438028097.jpg,1574103166.438028,-0.10199074979851738,-0.2556362360601432,straight
autobot04_1574103166_458017110.jpg,1574103166.458017,-0.10334091351803384,-0.25991416743973955,straight
autobot04_1574103166_486206054.jpg,1574103166.486206,-0.11171908205961964,-0.2548744557509506,straight
autobot04_1574103166_501570940.jpg,1574103166.501571,-0.11308762432922717,-0.2536471074323503,straight
autobot04_1574103166_532186985.jpg,1574103166.532187,-0.11579653770448403,-0.25120149521051144,straight
autobot04_1574103166_558212995.jpg,1574103166.558213,-0.12445503059892701,-0.19998363754838938,straight
autobot04_1574103166_592510938.jpg,1574103166.592511,-0.1272734935699996,-0.18083621394460686,straight
autobot04_1574103166_648410081.jpg,1574103166.64841,-0.13543396819849637,-0.11099442594589501,straight
autobot04_1574103167_445264101.jpg,1574103167.445264,-0.16355178728726052,0.04105943520287128,straight
autobot04_1574103167_461249113.jpg,1574103167.461249,-0.16498679181590417,0.04105344440606043,straight
autobot04_1574103167_489085912.jpg,1574103167.489086,-0.16776215597438812,0.04295042557427611,straight
autobot04_1574103167_510710954.jpg,1574103167.510711,-0.16831383632555544,0.04341156385318026,straight
autobot04_1574103167_533660888.jpg,1574103167.533661,-0.16803618455700872,0.044477573117340595,straight
autobot04_1574103167_560189008.jpg,1574103167.560189,-0.16769524453166254,0.04470855510762852,straight
autobot04_1574103167_590482950.jpg,1574103167.590483,-0.1673035053760267,0.04497232633943995,straight
autobot04_1574103167_652087926.jpg,1574103167.652088,-0.16321716493699234,0.01744764481597361,curve_left
autobot04_1574103167_681191921.jpg,1574103167.681192,-0.15915731768222513,-0.025223629174612072,curve_left
autobot04_1574103167_724069118.jpg,1574103167.724069,-0.1575653425556791,-0.044695610566183736,curve_left
autobot04_1574103167_743976116.jpg,1574103167.743976,-0.15566423700959944,-0.08768840574900756,curve_left
autobot04_1574103167_761748075.jpg,1574103167.761748,-0.15542529324004412,-0.09661580301267188,curve_left
autobot04_1574103167_788981914.jpg,1574103167.788982,-0.1551512505589875,-0.11030508701780666,curve_left
autobot04_1574103167_825923919.jpg,1574103167.825924,-0.1576052896748744,-0.11565237345284189,curve_left
autobot04_1574103167_861474037.jpg,1574103167.861474,-0.1585756937549151,-0.115545766982704,curve_left
autobot04_1574103167_889899969.jpg,1574103167.8899,-0.16468682139476265,-0.09429405342646906,curve_left
autobot04_1574103167_921570062.jpg,1574103167.92157,-0.16665305770671207,-0.08679261551090123,curve_left
autobot04_1574103167_956784963.jpg,1574103167.956785,-0.17431590820761672,-0.0662551498598946,curve_left
